pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_insol,pl_eqt,rowupdate,pl_pubdate,releasedate
Kepler-849 b,394.62508000,1.137000,8.082,298.75870,3.09000,5290.00,363,2024-04-15,2024-03,2024-04-15
PH2 b,282.52542000,0.833000,9.337,87.08498,0.58000,2220.00,295,2024-04-15,2024-03,2024-04-15
TOI-2180 b,260.17060000,,,,,,,2024-04-15,2024-03,2024-04-15
NGTS-30 b,98.29838000,0.408000,10.402,305.11527,,,500,2024-04-15,2024-04,2024-04-15
gam Cep b,913.00000000,,,2097.66749,,,,2024-04-10,2023-07,2024-04-10
Luhman 16 b,9697.00000000,3.520000,,9344.15517,,,,2024-04-10,2024-01,2024-04-10
TOI-1136 b,4.17270000,0.051060,,3.50000,2.80000,,1216,2024-04-10,2024-02,2024-04-10
TOI-1136 c,6.25740000,0.066900,,6.32000,1.45000,,1062,2024-04-10,2024-02,2024-04-10
TOI-1136 d,12.51990000,0.106200,,8.35000,1.81000,,843,2024-04-10,2024-02,2024-04-10
TOI-1136 e,18.80100000,,,6.07000,1.81000,,737,2024-04-10,2024-02,2024-04-10
TOI-1136 f,26.32100000,0.174000,,9.70000,0.89000,,658,2024-04-10,2024-02,2024-04-10
TOI-1136 g,39.54500000,0.229000,,5.60000,1.90000,,574,2024-04-10,2024-02,2024-04-10
HATS-2 b,1.35413379,0.023170,12.576,435.42492,1.20684,,1550,2024-04-10,2024-03,2024-04-10
HAT-P-11 b,4.88780230,,5.283,,,65.19,791,2024-04-07,2017-07,2024-04-07
HAT-P-7 b,2.20466650,,16.819,,,4831.12,2126,2024-04-07,2017-07,2024-04-07
HD 158259 b,2.17794070,,1.282,,,759.18,1462,2024-04-07,2017-07,2024-04-07
HIP 97166 b,10.28888710,,2.732,,,25.00,622,2024-04-07,2017-07,2024-04-07
K2-108 b,4.73355751,,5.385,,,850.48,1377,2024-04-07,2017-07,2024-04-07
K2-79 b,21.99036194,,4.603,,,56.47,699,2024-04-07,2017-07,2024-04-07
KELT-20 b,3.47410120,,21.291,,,3453.07,2084,2024-04-07,2017-07,2024-04-07
KELT-23 A b,2.25528450,,14.688,,,549.72,1348,2024-04-07,2017-07,2024-04-07
Kepler-506 b,6.88340270,,2.877,,,87.78,852,2024-04-07,2017-07,2024-04-07
Kepler-68 b,5.39873960,,2.196,,,315.61,1174,2024-04-07,2017-07,2024-04-07
